Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Jan 2025,4,B Swathi,Nice product good quality 
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,4 Mar 2025,5,Sagar Gaur,"Great product, just go for it❤️"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,18 Feb 2025,4,Saniya Azmi,The fitting and quality is really good.
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,10 Mar 2025,5,Sonia,Perfect quality and fine embroidery 🌸👍🏻
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,23 Jan 2025,5,Niki,Good product same as shown in picture 😊
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,17 Nov 2024,3,Megha,"Is was good, but didn't like the fitting, neck was too deep and kurta was too long for me"
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,15 Mar 2025,5,Naina,Very good fabric and fiiting ccl size
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,2 Dec 2024,5,Sunita Singh,"10/10 product, finishing of embroidery is superb "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,3 Nov 2024,5,Vikram Kamboj,"Good Fabric, decent Colour "
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,25 Sept 2024,3,Rashmi Rajpoot,Not fitting as expecting
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,4 Oct 2024,3,Snehal,Colour does not look good on me
Buy Anouk Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta  - Kurtas for Women 30104320 | Myntra,4.4,₹899,29 Sept 2024,5,Sudha Sinha,Better than expected..Thank you !!
